user_id,date,steps,distance_km,active_minutes
1,3/14/2020,3262,2.49,46
1,3/15/2020,18582,14.16,59
1,3/16/2020,19032,14.51,38
1,3/17/2020,5740,4.38,158
1,3/18/2020,7097,5.41,27
1,3/19/2020,1231,0.94,66
1,3/20/2020,14734,11.23,155
1,3/21/2020,13930,10.62,75
1,3/22/2020,8115,6.19,155
1,3/23/2020,6904,5.26,86
1,3/24/2020,7770,5.92,90
1,3/25/2020,7377,5.62,65
1,3/26/2020,16967,12.93,103
1,3/27/2020,6522,4.97,28
1,3/28/2020,13869,10.57,136
1,3/29/2020,16470,12.55,79
1,3/30/2020,14030,10.69,60
1,3/31/2020,1187,0.9,120
1,4/1/2020,8275,6.31,29
1,4/2/2020,15868,12.09,60
1,4/3/2020,4746,3.62,57
1,4/4/2020,1389,1.06,131
1,4/5/2020,9171,6.99,155
1,4/6/2020,2006,1.53,89
1,4/7/2020,19170,14.61,26
1,4/8/2020,15837,12.07,82
1,4/9/2020,13371,10.19,31
1,4/10/2020,9357,7.13,24
1,4/11/2020,13546,10.32,101
1,4/12/2020,10688,8.15,113
1,4/13/2020,9416,7.18,161
1,4/14/2020,4294,3.27,176
1,4/15/2020,6084,4.64,121
1,4/16/2020,10912,8.32,68
1,4/17/2020,11421,8.71,36
1,4/18/2020,2606,1.99,89
1,4/19/2020,10704,8.16,157
1,4/20/2020,11845,9.03,145
1,4/21/2020,5155,3.93,95
1,4/22/2020,2975,2.27,56
1,4/23/2020,3723,2.84,155
1,4/24/2020,17625,13.43,52
1,4/25/2020,11932,9.09,133
1,4/26/2020,9227,7.03,37
1,4/27/2020,15879,12.1,164
1,4/28/2020,6727,5.13,45
1,4/29/2020,9194,7.01,131
1,4/30/2020,18676,14.23,56
1,5/1/2020,18232,13.9,90
1,5/2/2020,2516,1.92,139
1,5/3/2020,11695,8.91,102
1,5/4/2020,19563,14.91,99
1,5/5/2020,19965,15.22,122
1,5/6/2020,11502,8.77,70
1,5/7/2020,10591,8.07,105
1,5/8/2020,15208,11.59,153
1,5/9/2020,3484,2.66,82
1,5/10/2020,5735,4.37,81
1,5/11/2020,16075,12.25,127
1,5/12/2020,13191,10.05,50
1,5/13/2020,6403,4.88,142
1,5/14/2020,13799,10.52,71
1,5/15/2020,9195,7.01,52
1,5/16/2020,11145,8.49,70
1,5/17/2020,10040,7.65,138
1,5/18/2020,16674,12.71,102
1,5/19/2020,16993,12.95,52
1,5/20/2020,7449,5.68,97
1,5/21/2020,12780,9.74,122
1,5/22/2020,8792,6.7,25
1,5/23/2020,19140,14.59,109
1,5/24/2020,10097,7.7,85
1,5/25/2020,17641,13.45,36
1,5/26/2020,9749,7.43,88
1,5/27/2020,2514,1.92,130
1,5/28/2020,2293,1.75,175
1,5/29/2020,18479,14.08,180
1,5/30/2020,6123,4.67,86
1,5/31/2020,9882,7.53,124
1,6/1/2020,6617,5.04,123
1,6/2/2020,11177,8.52,150
1,6/3/2020,17974,13.7,145
1,6/4/2020,10765,8.21,139
1,6/5/2020,16288,12.41,21
1,6/6/2020,15996,12.19,154
1,6/7/2020,11328,8.63,140
1,6/8/2020,7582,5.78,27
1,6/9/2020,1009,0.77,133
1,6/10/2020,6854,5.22,110
1,6/11/2020,10212,7.78,67
1,6/12/2020,6893,5.25,50
1,6/13/2020,14796,11.28,143
1,6/14/2020,11536,8.79,137
1,6/15/2020,7633,5.82,24
1,6/16/2020,1122,0.86,69
1,6/17/2020,8136,6.2,163
1,6/18/2020,10761,8.2,113
1,6/19/2020,18133,13.82,167
1,6/20/2020,17332,13.21,68
1,6/21/2020,8892,6.78,76
1,6/22/2020,14509,11.06,152
1,6/23/2020,12129,9.24,173
1,6/24/2020,19577,14.92,45
1,6/25/2020,11741,8.95,172
1,6/26/2020,7534,5.74,107
1,6/27/2020,14855,11.32,124
1,6/28/2020,7622,5.81,75
1,6/29/2020,16144,12.3,24
1,6/30/2020,18642,14.21,180
1,7/1/2020,8536,6.51,106
1,7/2/2020,18983,14.47,151
1,7/3/2020,18667,14.23,166
1,7/4/2020,3918,2.99,119
1,7/5/2020,3580,2.73,172
1,7/6/2020,2708,2.06,114
1,7/7/2020,13422,10.23,130
1,7/8/2020,1027,0.78,54
1,7/9/2020,13173,10.04,85
1,7/10/2020,7416,5.65,167
1,7/11/2020,10495,8,179
1,7/12/2020,14640,11.16,111
1,7/13/2020,2232,1.7,91
1,7/14/2020,5539,4.22,131
1,7/15/2020,16799,12.8,51
1,7/16/2020,11705,8.92,77
1,7/17/2020,2238,1.71,125
1,7/18/2020,16593,12.65,57
1,7/19/2020,9476,7.22,150
1,7/20/2020,11491,8.76,77
1,7/21/2020,10836,8.26,151
1,7/22/2020,17475,13.32,62
1,7/23/2020,8925,6.8,172
1,7/24/2020,11450,8.73,31
1,7/25/2020,10509,8.01,108
1,7/26/2020,10688,8.15,48
1,7/27/2020,2938,2.24,92
1,7/28/2020,1651,1.26,48
1,7/29/2020,6365,4.85,171
1,7/30/2020,8419,6.42,100
1,7/31/2020,13242,10.09,172
1,8/1/2020,13415,10.22,163
1,8/2/2020,12445,9.49,37
1,8/3/2020,1827,1.39,163
1,8/4/2020,7367,5.62,158
1,8/5/2020,7525,5.74,97
1,8/6/2020,16983,12.94,121
1,8/7/2020,15005,11.44,36
1,8/8/2020,12959,9.88,56
1,8/9/2020,14535,11.08,27
1,8/10/2020,11390,8.68,52
1,8/11/2020,18900,14.41,24
1,8/12/2020,11004,8.39,146
1,8/13/2020,9494,7.24,93
1,8/14/2020,12833,9.78,21
1,8/15/2020,19820,15.11,106
1,8/16/2020,1435,1.09,80
1,8/17/2020,6221,4.74,130
1,8/18/2020,19642,14.97,79
1,8/19/2020,6823,5.2,107
1,8/20/2020,6536,4.98,24
1,8/21/2020,9130,6.96,89
1,8/22/2020,3362,2.56,93
1,8/23/2020,13853,10.56,21
1,8/24/2020,12177,9.28,175
1,8/25/2020,18342,13.98,151
1,8/26/2020,1829,1.39,173
1,8/27/2020,1014,0.77,87
1,8/28/2020,4656,3.55,32
1,8/29/2020,6372,4.86,50
1,8/30/2020,12935,9.86,50
1,8/31/2020,3963,3.02,127
1,9/1/2020,6848,5.22,106
1,9/2/2020,19441,14.82,39
1,9/3/2020,18881,14.39,172
1,9/4/2020,19334,14.74,174
1,9/5/2020,2603,1.98,21
1,9/6/2020,12198,9.3,102
1,9/7/2020,12994,9.9,165
1,9/8/2020,10107,7.7,48
1,9/9/2020,15463,11.79,175
1,9/10/2020,10342,7.88,122
1,9/11/2020,4412,3.36,89
1,9/12/2020,7007,5.34,37
1,9/13/2020,18541,14.13,44
1,9/14/2020,13824,10.54,65
1,9/15/2020,7689,5.86,40
1,9/16/2020,17662,13.46,21
1,9/17/2020,13161,10.03,117
1,9/18/2020,8730,6.65,125
1,9/19/2020,6638,5.06,68
1,9/20/2020,16800,12.8,145
1,9/21/2020,4640,3.54,170
1,9/22/2020,10427,7.95,119
1,9/23/2020,19459,14.83,87
1,9/24/2020,12429,9.47,68
1,9/25/2020,12755,9.72,88
1,9/26/2020,8482,6.46,77
1,9/27/2020,3011,2.29,179
1,9/28/2020,6269,4.78,62
1,9/29/2020,16759,12.77,100
1,9/30/2020,15877,12.1,79
1,10/1/2020,7103,5.41,111
1,10/2/2020,10665,8.13,179
1,10/3/2020,1408,1.07,134
1,10/4/2020,16931,12.9,151
1,10/5/2020,16009,12.2,168
1,10/6/2020,7373,5.62,133
1,10/7/2020,12696,9.68,142
1,10/8/2020,10663,8.13,20
1,10/9/2020,2992,2.28,115
1,10/10/2020,3262,2.49,33
1,10/11/2020,19556,14.91,84
1,10/12/2020,9803,7.47,91
1,10/13/2020,9195,7.01,21
1,10/14/2020,1423,1.08,20
1,10/15/2020,10068,7.67,68
1,10/16/2020,14518,11.07,99
1,10/17/2020,10349,7.89,166
1,10/18/2020,10963,8.36,76
1,10/19/2020,6426,4.9,37
1,10/20/2020,16696,12.73,81
1,10/21/2020,8810,6.71,51
1,10/22/2020,13870,10.57,132
1,10/23/2020,6760,5.15,118
1,10/24/2020,11604,8.84,115
1,10/25/2020,9372,7.14,73
1,10/26/2020,1255,0.96,172
1,10/27/2020,17476,13.32,126
1,10/28/2020,10439,7.96,72
1,10/29/2020,6325,4.82,30
1,10/30/2020,3782,2.88,133
1,10/31/2020,2737,2.09,146
1,11/1/2020,18747,14.29,115
1,11/2/2020,18776,14.31,108
1,11/3/2020,5404,4.12,99
1,11/4/2020,13558,10.33,115
1,11/5/2020,1266,0.96,92
1,11/6/2020,13771,10.5,130
1,11/7/2020,8589,6.55,57
1,11/8/2020,17650,13.45,121
1,11/9/2020,13921,10.61,179
1,11/10/2020,14213,10.83,114
1,11/11/2020,12391,9.44,123
1,11/12/2020,5784,4.41,69
1,11/13/2020,13397,10.21,175
1,11/14/2020,15342,11.69,165
1,11/15/2020,19674,15,62
1,11/16/2020,2801,2.13,98
1,11/17/2020,15319,11.68,40
1,11/18/2020,4551,3.47,44
1,11/19/2020,8296,6.32,62
1,11/20/2020,11008,8.39,27
1,11/21/2020,1939,1.48,58
1,11/22/2020,2975,2.27,147
1,11/23/2020,11114,8.47,159
1,11/24/2020,1233,0.94,110
1,11/25/2020,18272,13.93,177
1,11/26/2020,4981,3.8,118
1,11/27/2020,14060,10.72,21
1,11/28/2020,7958,6.07,124
1,11/29/2020,12658,9.65,176
1,11/30/2020,12279,9.36,150
1,12/1/2020,1316,1,58
1,12/2/2020,5439,4.15,23
1,12/3/2020,7162,5.46,82
1,12/4/2020,7135,5.44,97
1,12/5/2020,7036,5.36,80
1,12/6/2020,15980,12.18,71
1,12/7/2020,18618,14.19,137
1,12/8/2020,2345,1.79,34
1,12/9/2020,19851,15.13,73
1,12/10/2020,14657,11.17,78
1,12/11/2020,18684,14.24,172
1,12/12/2020,3739,2.85,33
1,12/13/2020,8816,6.72,42
1,12/14/2020,7885,6.01,116
1,12/15/2020,18673,14.23,44
1,12/16/2020,9533,7.27,28
1,12/17/2020,12626,9.62,60
1,12/18/2020,12323,9.39,132
1,12/19/2020,8957,6.83,75
1,12/20/2020,7081,5.4,57
1,12/21/2020,2906,2.21,73
1,12/22/2020,15131,11.53,157
1,12/23/2020,9316,7.1,42
1,12/24/2020,4139,3.15,35
1,12/25/2020,1802,1.37,177
1,12/26/2020,12686,9.67,102
1,12/27/2020,3511,2.68,43
1,12/28/2020,19870,15.14,31
1,12/29/2020,19135,14.58,67
1,12/30/2020,12326,9.39,32
1,12/31/2020,11020,8.4,130
1,1/1/2021,9679,7.38,87
1,1/2/2021,2869,2.19,148
1,1/3/2021,10578,8.06,89
1,1/4/2021,1465,1.12,77
1,1/5/2021,14765,11.25,81
1,1/6/2021,1611,1.23,156
1,1/7/2021,5934,4.52,86
1,1/8/2021,13789,10.51,165
1,1/9/2021,8000,6.1,124
1,1/10/2021,15791,12.04,110
1,1/11/2021,13137,10.01,144
1,1/12/2021,9503,7.24,93
1,1/13/2021,4598,3.5,160
1,1/14/2021,1503,1.15,174
1,1/15/2021,7072,5.39,116
1,1/16/2021,2194,1.67,92
1,1/17/2021,2045,1.56,66
1,1/18/2021,15985,12.18,158
1,1/19/2021,6801,5.18,91
1,1/20/2021,3766,2.87,114
1,1/21/2021,8086,6.16,176
1,1/22/2021,5739,4.37,52
1,1/23/2021,16503,12.58,134
1,1/24/2021,1466,1.12,133
1,1/25/2021,8898,6.78,81
1,1/26/2021,14852,11.32,148
1,1/27/2021,1679,1.28,174
1,1/28/2021,3458,2.64,25
1,1/29/2021,18855,14.37,60
1,1/30/2021,13589,10.36,85
1,1/31/2021,12774,9.74,83
1,2/1/2021,11683,8.9,85
1,2/2/2021,10741,8.19,89
1,2/3/2021,15721,11.98,155
1,2/4/2021,5163,3.94,143
1,2/5/2021,3001,2.29,31
1,2/6/2021,13948,10.63,102
1,2/7/2021,19497,14.86,157
1,2/8/2021,3495,2.66,180
1,2/9/2021,14346,10.93,163
1,2/10/2021,7759,5.91,149
1,2/11/2021,7897,6.02,69
1,2/12/2021,6780,5.17,134
1,2/13/2021,16648,12.69,71
1,2/14/2021,14318,10.91,110
1,2/15/2021,14724,11.22,148
1,2/16/2021,13034,9.93,95
1,2/17/2021,4495,3.43,20
1,2/18/2021,16458,12.54,52
1,2/19/2021,10178,7.76,73
1,2/20/2021,3660,2.79,162
1,2/21/2021,8961,6.83,145
1,2/22/2021,17851,13.61,131
1,2/23/2021,4538,3.46,161
1,2/24/2021,16052,12.23,154
1,2/25/2021,9900,7.55,25
1,2/26/2021,1234,0.94,98
1,2/27/2021,1145,0.87,112
1,2/28/2021,10021,7.64,113
1,3/1/2021,7190,5.48,150
1,3/2/2021,14916,11.37,162
1,3/3/2021,8224,6.27,76
1,3/4/2021,18846,14.36,72
1,3/5/2021,12877,9.81,137
1,3/6/2021,13780,10.5,157
1,3/7/2021,14674,11.18,114
1,3/8/2021,18226,13.89,179
1,3/9/2021,10001,7.62,114
1,3/10/2021,3402,2.59,62
1,3/11/2021,4358,3.32,93
1,3/12/2021,13747,10.48,131
1,3/13/2021,18057,13.76,109
1,3/14/2021,7171,5.47,40
1,3/15/2021,3910,2.98,99
1,3/16/2021,1184,0.9,53
1,3/17/2021,3414,2.6,25
1,3/18/2021,11679,8.9,162
1,3/19/2021,9141,6.97,40
1,3/20/2021,6095,4.65,169
1,3/21/2021,14641,11.16,164
1,3/22/2021,3098,2.36,21
1,3/23/2021,12540,9.56,59
1,3/24/2021,13131,10.01,170
1,3/25/2021,5343,4.07,172
1,3/26/2021,18173,13.85,142
1,3/27/2021,1150,0.88,59
1,3/28/2021,5317,4.05,67
1,3/29/2021,13052,9.95,153
1,3/30/2021,11851,9.03,172
1,3/31/2021,19337,14.74,69
1,4/1/2021,7137,5.44,95
1,4/2/2021,16649,12.69,118
1,4/3/2021,6789,5.17,33
1,4/4/2021,9247,7.05,126
1,4/5/2021,17290,13.18,84
1,4/6/2021,7227,5.51,136
1,4/7/2021,19000,14.48,93
1,4/8/2021,19597,14.94,126
1,4/9/2021,15581,11.88,120
1,4/10/2021,14726,11.22,124
1,4/11/2021,5893,4.49,159
1,4/12/2021,18033,13.74,69
1,4/13/2021,2327,1.77,154
1,4/14/2021,6608,5.04,167
1,4/15/2021,6447,4.91,136
1,4/16/2021,6719,5.12,125
1,4/17/2021,9200,7.01,157
1,4/18/2021,18827,14.35,163
1,4/19/2021,2466,1.88,50
1,4/20/2021,12490,9.52,97
1,4/21/2021,17490,13.33,118
1,4/22/2021,12157,9.27,172
1,4/23/2021,9472,7.22,162
1,4/24/2021,1676,1.28,47
1,4/25/2021,3540,2.7,35
1,4/26/2021,2161,1.65,87
1,4/27/2021,5080,3.87,52
1,4/28/2021,2864,2.18,42
1,4/29/2021,16139,12.3,43
1,4/30/2021,7557,5.76,125
1,5/1/2021,2383,1.82,51
1,5/2/2021,14693,11.2,156
1,5/3/2021,9117,6.95,20
1,5/4/2021,8995,6.86,41
1,5/5/2021,3551,2.71,126
1,5/6/2021,13162,10.03,29
1,5/7/2021,13922,10.61,123
1,5/8/2021,13036,9.94,39
1,5/9/2021,1869,1.42,117
1,5/10/2021,1711,1.3,76
1,5/11/2021,1598,1.22,51
1,5/12/2021,7587,5.78,177
1,5/13/2021,10757,8.2,52
1,5/14/2021,16808,12.81,153
1,5/15/2021,13265,10.11,165
1,5/16/2021,8801,6.71,78
1,5/17/2021,4742,3.61,105
1,5/18/2021,1072,0.82,165
1,5/19/2021,19437,14.81,37
1,5/20/2021,5784,4.41,149
1,5/21/2021,1552,1.18,146
1,5/22/2021,11156,8.5,67
1,5/23/2021,18124,13.81,148
1,5/24/2021,6464,4.93,117
1,5/25/2021,7779,5.93,52
1,5/26/2021,10019,7.64,136
1,5/27/2021,9655,7.36,119
1,5/28/2021,18824,14.35,131
1,5/29/2021,13659,10.41,112
1,5/30/2021,2275,1.73,139
1,5/31/2021,1666,1.27,114
1,6/1/2021,17324,13.2,44
1,6/2/2021,15934,12.14,73
1,6/3/2021,9675,7.37,39
1,6/4/2021,12754,9.72,86
1,6/5/2021,3793,2.89,50
1,6/6/2021,6172,4.7,71
1,6/7/2021,18468,14.08,89
1,6/8/2021,10294,7.85,88
1,6/9/2021,13296,10.13,52
1,6/10/2021,5840,4.45,163
1,6/11/2021,6600,5.03,42
1,6/12/2021,11562,8.81,151
1,6/13/2021,4910,3.74,44
1,6/14/2021,8502,6.48,167
1,6/15/2021,15026,11.45,86
1,6/16/2021,18418,14.04,23
1,6/17/2021,2068,1.58,27
1,6/18/2021,3757,2.86,112
1,6/19/2021,8842,6.74,151
1,6/20/2021,18986,14.47,125
1,6/21/2021,1172,0.89,35
1,6/22/2021,10631,8.1,145
1,6/23/2021,12888,9.82,169
1,6/24/2021,17973,13.7,125
1,6/25/2021,6111,4.66,149
1,6/26/2021,19721,15.03,108
1,6/27/2021,2649,2.02,155
1,6/28/2021,9840,7.5,90
1,6/29/2021,15690,11.96,106
1,6/30/2021,6782,5.17,144
1,7/1/2021,14103,10.75,151
1,7/2/2021,5415,4.13,151
1,7/3/2021,4786,3.65,143
1,7/4/2021,2158,1.64,126
1,7/5/2021,14017,10.68,38
1,7/6/2021,4678,3.57,154
1,7/7/2021,14393,10.97,176
1,7/8/2021,5468,4.17,71
1,7/9/2021,13132,10.01,82
1,7/10/2021,8826,6.73,162
1,7/11/2021,2314,1.76,67
1,7/12/2021,2192,1.67,180
1,7/13/2021,14035,10.7,162
1,7/14/2021,10906,8.31,101
1,7/15/2021,10341,7.88,30
1,7/16/2021,4222,3.22,177
1,7/17/2021,1684,1.28,85
1,7/18/2021,15782,12.03,152
1,7/19/2021,5724,4.36,145
1,7/20/2021,11740,8.95,55
1,7/21/2021,16192,12.34,41
1,7/22/2021,12617,9.62,53
1,7/23/2021,11013,8.39,148
1,7/24/2021,1690,1.29,59
1,7/25/2021,9198,7.01,156
1,7/26/2021,15099,11.51,113
1,7/27/2021,17085,13.02,76
1,7/28/2021,13624,10.38,108
1,7/29/2021,4493,3.42,143
1,7/30/2021,1236,0.94,53
1,7/31/2021,6414,4.89,162
1,8/1/2021,15620,11.91,99
1,8/2/2021,16279,12.41,172
1,8/3/2021,3746,2.86,102
1,8/4/2021,9646,7.35,131
1,8/5/2021,10609,8.09,108
1,8/6/2021,4717,3.6,123
1,8/7/2021,19810,15.1,130
1,8/8/2021,14429,11,89
1,8/9/2021,8571,6.53,145
1,8/10/2021,4204,3.2,24
1,8/11/2021,16111,12.28,142
1,8/12/2021,6263,4.77,53
1,8/13/2021,1148,0.88,39
1,8/14/2021,3255,2.48,44
1,8/15/2021,10598,8.08,101
1,8/16/2021,11452,8.73,150
1,8/17/2021,8139,6.2,102
1,8/18/2021,16872,12.86,44
1,8/19/2021,11143,8.49,45
1,8/20/2021,16159,12.32,72
1,8/21/2021,8671,6.61,155
1,8/22/2021,14351,10.94,135
1,8/23/2021,4923,3.75,85
1,8/24/2021,13521,10.31,136
1,8/25/2021,14961,11.4,70
1,8/26/2021,4191,3.19,175
1,8/27/2021,5785,4.41,122
1,8/28/2021,16678,12.71,90
1,8/29/2021,19844,15.12,127
1,8/30/2021,3413,2.6,46
1,8/31/2021,15873,12.1,102
1,9/1/2021,13881,10.58,167
1,9/2/2021,6891,5.25,150
1,9/3/2021,6414,4.89,157
1,9/4/2021,15444,11.77,136
1,9/5/2021,8967,6.83,66
1,9/6/2021,2260,1.72,110
1,9/7/2021,16250,12.39,51
1,9/8/2021,6620,5.05,77
1,9/9/2021,6222,4.74,78
1,9/10/2021,5753,4.38,111
1,9/11/2021,18797,14.33,169
1,9/12/2021,15817,12.06,135
1,9/13/2021,9154,6.98,147
1,9/14/2021,18103,13.8,165
1,9/15/2021,11337,8.64,151
1,9/16/2021,11199,8.54,132
1,9/17/2021,19460,14.83,68
1,9/18/2021,12435,9.48,149
1,9/19/2021,1415,1.08,123
1,9/20/2021,18500,14.1,105
1,9/21/2021,9954,7.59,90
1,9/22/2021,7098,5.41,136
1,9/23/2021,13016,9.92,23
1,9/24/2021,17114,13.04,135
1,9/25/2021,12135,9.25,28
1,9/26/2021,9528,7.26,111
1,9/27/2021,6095,4.65,150
1,9/28/2021,9165,6.99,46
1,9/29/2021,5759,4.39,47
1,9/30/2021,7917,6.03,27
1,10/1/2021,11731,8.94,67
1,10/2/2021,2264,1.73,113
1,10/3/2021,9359,7.13,107
1,10/4/2021,10236,7.8,45
1,10/5/2021,1836,1.4,75
1,10/6/2021,1147,0.87,30
1,10/7/2021,12128,9.24,33
1,10/8/2021,2550,1.94,127
1,10/9/2021,13830,10.54,52
1,10/10/2021,6049,4.61,113
1,10/11/2021,9589,7.31,146
1,10/12/2021,16051,12.23,146
1,10/13/2021,8837,6.74,93
1,10/14/2021,9960,7.59,170
1,10/15/2021,19221,14.65,122
1,10/16/2021,1960,1.49,71
1,10/17/2021,9030,6.88,73
1,10/18/2021,14972,11.41,56
1,10/19/2021,18555,14.14,77
1,10/20/2021,2661,2.03,136
1,10/21/2021,3593,2.74,131
1,10/22/2021,9710,7.4,73
1,10/23/2021,5405,4.12,118
1,10/24/2021,18843,14.36,160
1,10/25/2021,11880,9.05,77
1,10/26/2021,17604,13.42,165
1,10/27/2021,19563,14.91,57
1,10/28/2021,14247,10.86,113
1,10/29/2021,1947,1.48,54
1,10/30/2021,12656,9.65,142
1,10/31/2021,11146,8.5,77
1,11/1/2021,11497,8.76,165
1,11/2/2021,17341,13.22,136
1,11/3/2021,10330,7.87,103
1,11/4/2021,10723,8.17,80
1,11/5/2021,14916,11.37,22
1,11/6/2021,12454,9.49,53
1,11/7/2021,15890,12.11,106
1,11/8/2021,9469,7.22,129
1,11/9/2021,18191,13.87,64
1,11/10/2021,19337,14.74,171
1,11/11/2021,15817,12.06,33
1,11/12/2021,2941,2.24,80
1,11/13/2021,11730,8.94,107
1,11/14/2021,9644,7.35,133
1,11/15/2021,14539,11.08,72
1,11/16/2021,16623,12.67,159
1,11/17/2021,5213,3.97,47
1,11/18/2021,15481,11.8,168
1,11/19/2021,9931,7.57,151
1,11/20/2021,16058,12.24,157
1,11/21/2021,3071,2.34,109
1,11/22/2021,11416,8.7,160
1,11/23/2021,2020,1.54,115
1,11/24/2021,12550,9.57,99
1,11/25/2021,9391,7.16,158
1,11/26/2021,16869,12.86,98
1,11/27/2021,1182,0.9,95
1,11/28/2021,9406,7.17,67
1,11/29/2021,6899,5.26,24
1,11/30/2021,3111,2.37,145
1,12/1/2021,15103,11.51,152
1,12/2/2021,9956,7.59,65
1,12/3/2021,14422,10.99,31
1,12/4/2021,8247,6.29,163
1,12/5/2021,11913,9.08,64
1,12/6/2021,15339,11.69,73
1,12/7/2021,19974,15.22,146
1,12/8/2021,18996,14.48,47
1,12/9/2021,16450,12.54,170
1,12/10/2021,16582,12.64,144
1,12/11/2021,9155,6.98,146
1,12/12/2021,19357,14.75,124
1,12/13/2021,16005,12.2,156
1,12/14/2021,5903,4.5,96
1,12/15/2021,17328,13.21,76
1,12/16/2021,16054,12.24,166
1,12/17/2021,13613,10.38,84
1,12/18/2021,18564,14.15,90
1,12/19/2021,14819,11.29,62
1,12/20/2021,11902,9.07,68
1,12/21/2021,13875,10.58,31
1,12/22/2021,11201,8.54,180
1,12/23/2021,3306,2.52,174
1,12/24/2021,5667,4.32,38
1,12/25/2021,14213,10.83,25
1,12/26/2021,14946,11.39,79
1,12/27/2021,15051,11.47,130
1,12/28/2021,3194,2.43,82
1,12/29/2021,16554,12.62,171
1,12/30/2021,18442,14.06,92
1,12/31/2021,4478,3.41,38
1,1/1/2022,15103,11.51,100
1,1/2/2022,14756,11.25,35
1,1/3/2022,14441,11.01,158
1,1/4/2022,2648,2.02,158
1,1/5/2022,16124,12.29,104
1,1/6/2022,16109,12.28,24
1,1/7/2022,14927,11.38,131
1,1/8/2022,13827,10.54,44
1,1/9/2022,15009,11.44,104
1,1/10/2022,4053,3.09,121
1,1/11/2022,17348,13.22,100
1,1/12/2022,9152,6.98,123
1,1/13/2022,19978,15.23,127
1,1/14/2022,9195,7.01,116
1,1/15/2022,6857,5.23,154
1,1/16/2022,15733,11.99,153
1,1/17/2022,6308,4.81,162
1,1/18/2022,10131,7.72,40
1,1/19/2022,8075,6.15,87
1,1/20/2022,6800,5.18,38
1,1/21/2022,10874,8.29,76
1,1/22/2022,15801,12.04,122
1,1/23/2022,7652,5.83,39
1,1/24/2022,18475,14.08,163
1,1/25/2022,5338,4.07,153
1,1/26/2022,7053,5.38,130
1,1/27/2022,18994,14.48,178
1,1/28/2022,16350,12.46,50
1,1/29/2022,9224,7.03,83
1,1/30/2022,11997,9.14,115
1,1/31/2022,7334,5.59,89
1,2/1/2022,12736,9.71,171
1,2/2/2022,19258,14.68,164
1,2/3/2022,13749,10.48,86
1,2/4/2022,3719,2.83,104
1,2/5/2022,8067,6.15,153
1,2/6/2022,4759,3.63,163
1,2/7/2022,19887,15.16,101
1,2/8/2022,15885,12.11,114
1,2/9/2022,11947,9.11,116
1,2/10/2022,6589,5.02,25
1,2/11/2022,16060,12.24,176
1,2/12/2022,1598,1.22,106
1,2/13/2022,2864,2.18,139
1,2/14/2022,6185,4.71,24
